rep	case	h2	env	ts	ts_magnitude
L16	C1	same-0.3	env-0.0	p-0.55	0.0621295065170567
L17	C1	same-0.3	env-0.0	p-0.55	0.0574147632203876
L18	C1	same-0.3	env-0.0	p-0.55	-0.00542274370261732
L19	C1	same-0.3	env-0.0	p-0.55	0.100146385503564
L20	C1	same-0.3	env-0.0	p-0.55	0.257107721415514
L21	C1	same-0.3	env-0.0	p-0.55	0.166819405121559
L22	C1	same-0.3	env-0.0	p-0.55	0.211208829700542
L23	C1	same-0.3	env-0.0	p-0.55	-0.229448796825269
L24	C1	same-0.3	env-0.0	p-0.55	0.163046201760864
L25	C1	same-0.3	env-0.0	p-0.55	0.0765143490897842
L26	C1	same-0.3	env-0.0	p-0.55	-0.0761640288353475
L27	C1	same-0.3	env-0.0	p-0.55	0.132372215250265
L28	C1	same-0.3	env-0.0	p-0.55	-0.00858455277208947
L29	C1	same-0.3	env-0.0	p-0.55	0.111021239116006
L30	C1	same-0.3	env-0.0	p-0.55	0.0651412854056045
L31	C1	same-0.3	env-0.0	p-0.55	0.286319414296835
L32	C1	same-0.3	env-0.0	p-0.55	0.071889289298915
L33	C1	same-0.3	env-0.0	p-0.55	0.0704962016582736
L34	C1	same-0.3	env-0.0	p-0.55	0.100403988997555
L35	C1	same-0.3	env-0.0	p-0.55	0.113257212481197
L36	C1	same-0.3	env-0.0	p-0.55	0.0727707079394093
L37	C1	same-0.3	env-0.0	p-0.55	-0.103722626911974
L38	C1	same-0.3	env-0.0	p-0.55	0.150531396424877
